time   DownRange   Height   HorizontalSpeed   VerticalSpeed   x   z   
4   0.345743   0.076447   0.587787   0.137723   0.148982   0.305472
5   0.351621   0.076843   0.587716   0.039606   0.151559   0.310755
6   0.357497   0.0762581   0.587646   -0.0584987   0.154135   0.316037
7   0.363373   0.0746921   0.587576   -0.156592   0.156711   0.321319
8   0.369248   0.0721454   0.587503   -0.254672   0.159287   0.3266
9   0.375122   0.068618   0.587427   -0.352739   0.161862   0.33188
10   0.380996   0.0641101   0.587346   -0.450791   0.164437   0.33716
11   0.386868   0.0586219   0.587258   -0.548823   0.167012   0.342439
12   0.39274   0.0521535   0.587163   -0.646834   0.169586   0.347718
13   0.39861   0.0447053   0.587059   -0.74482   0.17216   0.352995
14   0.40448   0.0362776   0.586946   -0.842777   0.174733   0.358272
15   0.410348   0.0268706   0.586825   -0.940702   0.177306   0.363547
16   0.416215   0.0164846   0.586693   -1.03859   0.179879   0.368821
17   0.422081   0.00512024   0.586552   -1.13644   0.18245   0.374095
18   0.427945   -0.00722223   0.5864   -1.23425   0.185022   0.379367
1   0.335097   0.0701348   0.533537   0.356419   0.13656   0.300156
2   0.340431   0.0727175   0.533467   0.258273   0.138769   0.305013
3   0.345765   0.0743189   0.533404   0.160142   0.140978   0.309869
4   0.351099   0.0749391   0.533344   0.0620238   0.143187   0.314724
5   0.356432   0.0745783   0.533286   -0.0360829   0.145396   0.319578
6   0.361764   0.0732365   0.533228   -0.134179   0.147605   0.324432
7   0.367096   0.0709139   0.533169   -0.232264   0.149813   0.329286
8   0.372427   0.0676105   0.533106   -0.330337   0.152021   0.334139
9   0.377757   0.0633266   0.533039   -0.428395   0.154228   0.338992
10   0.383087   0.0580622   0.532965   -0.526436   0.156436   0.343843
11   0.388416   0.0518176   0.532884   -0.624456   0.158643   0.348695
12   0.393744   0.0445931   0.532796   -0.722452   0.16085   0.353545
13   0.399071   0.0363889   0.532699   -0.820421   0.163056   0.358395
14   0.404396   0.0272053   0.532594   -0.918359   0.165262   0.363243
15   0.409721   0.0170427   0.532479   -1.01626   0.167468   0.368091
16   0.415045   0.00590143   0.532356   -1.11413   0.169673   0.372938
17   0.420367   -0.00621805   0.532223   -1.21195   0.171877   0.377784
1   0.326739   0.0680457   0.451162   0.299612   0.153862   0.28312
2   0.33125   0.0700605   0.451113   0.201479   0.156016   0.287084
3   0.335761   0.0710941   0.451068   0.103359   0.15817   0.291048
4   0.340271   0.0711466   0.451026   0.00524956   0.160324   0.295011
5   0.344781   0.0702181   0.450984   -0.0928509   0.162477   0.298974
6   0.34929   0.0683087   0.450942   -0.190942   0.164631   0.302936
7   0.353799   0.0654185   0.450898   -0.289023   0.166784   0.306898
8   0.358308   0.0615475   0.450849   -0.387092   0.168937   0.31086
9   0.362816   0.0566961   0.450795   -0.485146   0.17109   0.314822
10   0.367323   0.0508643   0.450734   -0.583181   0.173242   0.318782
11   0.37183   0.0440523   0.450667   -0.681194   0.175395   0.322743
12   0.376336   0.0362605   0.450593   -0.779181   0.177547   0.326702
13   0.380841   0.0274891   0.450511   -0.87714   0.179698   0.330661
14   0.385345   0.0177385   0.450421   -0.975065   0.181849   0.33462
15   0.389848   0.00700895   0.450323   -1.07295   0.184   0.338577
16   0.39435   -0.00469906   0.450217   -1.1708   0.18615   0.342534
1   0.326126   0.0678544   0.389913   0.260337   0.137963   0.291198
2   0.330025   0.0694765   0.389876   0.162212   0.139633   0.294722
3   0.333924   0.0701175   0.389843   0.0640986   0.141302   0.298245
4   0.337822   0.0697774   0.389812   -0.0340065   0.142971   0.301768
5   0.341719   0.0684564   0.389781   -0.132104   0.14464   0.305291
6   0.345617   0.0661545   0.389749   -0.230193   0.146309   0.308814
7   0.349514   0.0628717   0.389713   -0.328272   0.147978   0.312336
8   0.353411   0.0586084   0.389673   -0.426338   0.149646   0.315858
9   0.357307   0.0533645   0.389627   -0.524388   0.151315   0.319379
10   0.361203   0.0471403   0.389576   -0.622419   0.152983   0.3229
11   0.365098   0.039936   0.389518   -0.720427   0.154651   0.326421
12   0.368993   0.031752   0.389454   -0.818407   0.156319   0.329941
13   0.372886   0.0225884   0.389382   -0.916357   0.157986   0.333461
14   0.376779   0.0124456   0.389304   -1.01427   0.159653   0.336979
15   0.380672   0.00132415   0.389218   -1.11215   0.16132   0.340498
16   0.384563   -0.0107757   0.389126   -1.20999   0.162986   0.344015
1   0.203511   0.0307813   0.0514943   -0.0936805   0.104533   0.174012
2   0.204026   0.0288636   0.0514932   -0.191778   0.104798   0.174454
3   0.204541   0.0259648   0.0514911   -0.289871   0.105064   0.174895
4   0.205056   0.0220853   0.051488   -0.387954   0.105329   0.175336
5   0.205571   0.0172251   0.051484   -0.486023   0.105594   0.175778
6   0.206085   0.0113843   0.0514789   -0.584075   0.105859   0.176219
7   0.2066   0.00456328   0.0514728   -0.682106   0.106124   0.17666
8   0.207115   -0.00323783   0.0514657   -0.780111   0.106389   0.177102
1   0.198926   0.0299692   0.0565848   -0.0900645   0.0704218   0.185439
2   0.199492   0.0280876   0.0565836   -0.188163   0.0706226   0.185968
3   0.200058   0.025225   0.0565814   -0.286255   0.0708235   0.186497
4   0.200624   0.0213817   0.056578   -0.384338   0.0710244   0.187026
5   0.20119   0.0165576   0.0565736   -0.482408   0.0712253   0.187555
6   0.201755   0.010753   0.056568   -0.580461   0.0714261   0.188084
7   0.202321   0.00396805   0.0565614   -0.678492   0.0716269   0.188613
8   0.202886   -0.00379694   0.0565536   -0.776499   0.0718277   0.189142
1   0.198879   0.0302976   0.0518695   -0.0944171   0.0704218   0.185439
2   0.199398   0.0283725   0.0518684   -0.192515   0.0706059   0.185924
3   0.199917   0.0254664   0.0518663   -0.290607   0.07079   0.186409
4   0.200435   0.0215795   0.0518632   -0.38869   0.0709742   0.186894
5   0.200954   0.0167119   0.0518591   -0.486759   0.0711583   0.187379
6   0.201472   0.0108638   0.0518539   -0.584811   0.0713424   0.187864
7   0.201991   0.00403539   0.0518478   -0.682842   0.0715265   0.188348
8   0.202509   -0.00377308   0.0518406   -0.780847   0.0717106   0.188833
1   0.256715   0.0470871   0.0965463   0.0412814   0.0990588   0.235787
2   0.257681   0.046519   0.0965443   -0.0568195   0.0994328   0.236677
3   0.258646   0.0449698   0.0965421   -0.154918   0.0998067   0.237567
4   0.259611   0.0424396   0.0965385   -0.253012   0.100181   0.238457
5   0.260577   0.0389287   0.0965332   -0.351099   0.100555   0.239347
6   0.261542   0.0344369   0.0965261   -0.449173   0.100928   0.240237
7   0.262507   0.0289646   0.0965172   -0.547231   0.101302   0.241127
8   0.263472   0.0225119   0.0965063   -0.64527   0.101676   0.242017
9   0.264437   0.0150791   0.0964936   -0.743285   0.10205   0.242906
10   0.265402   0.00666636   0.096479   -0.841272   0.102424   0.243796
11   0.266367   -0.00272592   0.0964625   -0.939228   0.102797   0.244685
1   0.203311   0.0304828   0.03153   -0.0854728   0   0.202996
2   0.203627   0.0286471   0.0315294   -0.183571   0   0.203311
3   0.203942   0.0258304   0.0315283   -0.281664   0   0.203627
4   0.204257   0.022033   0.0315264   -0.379748   0   0.203942
5   0.204573   0.0172548   0.031524   -0.477819   0   0.204257
6   0.204888   0.011496   0.031521   -0.575873   0   0.204573
7   0.205203   0.00475699   0.0315173   -0.673906   0   0.204888
8   0.205518   -0.00296214   0.031513   -0.771914   0   0.205203
1   0.256586   0.046712   0.0836739   0.0197515   0.0990588   0.235787
2   0.257423   0.0459285   0.0836724   -0.0783488   0.0993829   0.236558
3   0.25826   0.044164   0.0836705   -0.176447   0.099707   0.237329
4   0.259097   0.0414186   0.0836672   -0.27454   0.100031   0.238101
5   0.259933   0.0376924   0.0836623   -0.372624   0.100355   0.238872
6   0.26077   0.0329854   0.0836559   -0.470695   0.100679   0.239643
7   0.261606   0.027298   0.0836478   -0.56875   0.101003   0.240415
8   0.262443   0.0206301   0.0836381   -0.666784   0.101327   0.241186
9   0.263279   0.0129822   0.0836267   -0.764793   0.101651   0.241957
10   0.264115   0.00435444   0.0836137   -0.862774   0.101975   0.242728
11   0.264951   -0.00525279   0.0835991   -0.960723   0.102299   0.243499
1   0.262617   0.0473431   0.0889891   0.00686166   0.0893617   0.245999
2   0.263507   0.0464307   0.0889875   -0.0912385   0.0896655   0.246835
3   0.264397   0.0445373   0.0889852   -0.189336   0.0899694   0.247672
4   0.265286   0.041663   0.0889815   -0.287428   0.0902732   0.248508
5   0.266176   0.0378079   0.0889761   -0.385511   0.090577   0.249345
6   0.267066   0.0329721   0.0889689   -0.48358   0.0908808   0.250181
7   0.267956   0.0271558   0.0889601   -0.581632   0.0911846   0.251017
8   0.268845   0.0203592   0.0889495   -0.679663   0.0914883   0.251853
9   0.269734   0.0125825   0.0889372   -0.777668   0.091792   0.252689
10   0.270624   0.00382605   0.0889231   -0.875645   0.0920957   0.253525
11   0.271513   -0.00590984   0.0889073   -0.97359   0.0923993   0.254361
1   0.217693   0.034607   0.0129986   -0.0747025   0.217563   1.33219e-017
2   0.217823   0.032879   0.0129984   -0.172801   0.217693   1.33299e-017
3   0.217953   0.03017   0.012998   -0.270895   0.217823   1.33378e-017
4   0.218083   0.0264802   0.0129973   -0.36898   0.217953   1.33458e-017
5   0.218213   0.0218097   0.0129963   -0.467053   0.218083   1.33537e-017
6   0.218343   0.0161586   0.0129951   -0.565109   0.218213   1.33617e-017
7   0.218473   0.00952715   0.0129936   -0.663144   0.218343   1.33696e-017
8   0.218603   0.0019156   0.0129918   -0.761155   0.218473   1.33776e-017
9   0.218733   -0.00667578   0.0129898   -0.859138   0.218603   1.33856e-017
1   0.203252   0.0326811   0.0256057   -0.0686365   0.0583951   0.194416
2   0.203508   0.0310138   0.0256053   -0.166735   0.0584688   0.194661
3   0.203764   0.0283655   0.0256044   -0.26483   0.0585424   0.194906
4   0.20402   0.0247363   0.025603   -0.362916   0.0586161   0.195151
5   0.204276   0.0201264   0.0256011   -0.460989   0.0586897   0.195397
6   0.204532   0.014536   0.0255988   -0.559046   0.0587634   0.195642
7   0.204788   0.00796514   0.0255959   -0.657083   0.058837   0.195887
8   0.205044   0.000414191   0.0255925   -0.755095   0.0589106   0.196132
9   0.2053   -0.00811661   0.0255885   -0.85308   0.0589843   0.196377
1   0.0853197   0.0177886   0.286216   0.0833222   0.0542772   0.0620744
2   0.0881817   0.0176407   0.286199   -0.0147828   0.0561612   0.0642291
3   0.0910435   0.0165119   0.286182   -0.112882   0.0580451   0.0663836
4   0.0939052   0.0144022   0.286164   -0.210975   0.0599289   0.068538
5   0.0967666   0.0113116   0.286144   -0.30906   0.0618125   0.0706922
6   0.0996278   0.00724023   0.286119   -0.407133   0.0636961   0.0728463
7   0.102489   0.0021883   0.286091   -0.505193   0.0655794   0.0750002
8   0.105349   -0.00384403   0.286057   -0.603233   0.0674626   0.0771539
1   0.228013   0.0372307   0.0162017   -0.0649535   0.0621536   0.21921
2   0.228175   0.0356001   0.0162015   -0.163053   0.0621978   0.219366
3   0.228337   0.0329887   0.0162009   -0.261147   0.062242   0.219521
4   0.228499   0.0293963   0.0162001   -0.359233   0.0622862   0.219677
5   0.228661   0.0248232   0.0161989   -0.457307   0.0623304   0.219833
